Word,Rank,Frequency
to,1,5183
the,2,4844
and,3,4672
of,4,4279
I,5,3178
a,6,3004
was,7,2385
her,8,2381
it,9,2128
in,10,2118
not,11,2101
be,12,1970
she,13,1778
that,14,1730
you,15,1677
had,16,1606
as,17,1387
--,18,1382
he,19,1365
for,20,1321
have,21,1301
is,22,1220
with,23,1187
Mr,24,1153
very,25,1151
but,26,1148
".""",27,1138
his,28,1088
at,29,997
s,30,933
so,31,924
Emma,32,865
all,33,835
could,34,825
would,35,815
been,36,759
him,37,758
Mrs,38,699
.--,39,685
on,40,677
any,41,651
my,42,619
no,43,616
Miss,44,592
were,45,591
do,46,580
must,47,564
me,48,564
She,49,562
will,50,559
by,51,558
which,52,552
from,53,535
Harriet,54,506
or,55,490
said,56,484
much,57,478
more,58,464
an,59,452
are,60,447
He,61,441
such,62,440
Weston,63,439
what,64,434
them,65,432
am,66,422
",""",67,421
there,68,420
this,69,418
than,70,415
one,71,413
It,72,400
every,73,398
thing,74,398
they,75,392
Knightley,76,389
Elton,77,385
think,78,380
if,79,375
should,80,366
The,81,357
being,82,356
little,83,354
never,84,347
good,85,340
!--,86,338
know,87,337
your,88,337
did,89,335
only,90,327
might,91,322
well,92,315
Woodhouse,93,313
when,94,312
say,95,308
You,96,303
Jane,97,301
own,98,301
their,99,297
But,100,293
who,101,281
herself,102,279
now,103,273
time,104,272
can,105,270
quite,106,269
how,107,263
great,108,263
we,109,260
too,110,253
some,111,248
about,112,246
most,113,243
before,114,243
has,115,243
Fairfax,116,241
nothing,117,237
always,118,235
man,119,233
"?""",120,230
thought,121,226
And,122,224
Churchill,123,223
soon,124,221
other,125,220
see,126,220
again,127,219
dear,128,217
may,129,213
shall,130,212
out,131,212
without,132,211
first,133,209
Frank,134,208
father,135,207
sure,136,204
?--,137,200
made,138,199
like,139,199
body,140,193
day,141,190
up,142,190
young,143,190
ever,144,189
Oh,145,185
indeed,146,181
friend,147,177
two,148,171
though,149,169
better,150,166
into,151,163
Hartfield,152,160
just,153,159
come,154,159
give,155,157
way,156,155
really,157,153
make,158,152
then,159,150
They,160,148
Bates,161,148
himself,162,146
having,163,145
rather,164,145
us,165,145
long,166,144
hope,167,143
done,168,142
seemed,169,141
after,170,140
over,171,139
away,172,138
cannot,173,138
wish,174,134
many,175,133
here,176,133
upon,177,133
home,178,130
woman,179,129
go,180,129
There,181,129
enough,182,129
mind,183,128
No,184,126
A,185,125
Highbury,186,125
does,187,125
;--,188,124
happy,189,122
even,190,122
heard,191,120
moment,192,120
came,193,119
last,194,119
its,195,118
going,196,118
love,197,117
room,198,117
half,199,116
take,200,116
look,201,116
however,202,114
pleasure,203,114
felt,204,113
while,205,113
sort,206,112
morning,207,110
If,208,110
still,209,109
letter,210,109
How,211,108
This,212,108
My,213,108
saw,214,108
yet,215,106
few,216,106
poor,217,106
another,218,106
something,219,105
What,220,102
myself,221,102
same,222,102
feelings,223,102
believe,224,101
idea,225,100
hear,226,100
speak,227,99
off,228,99
doubt,229,98
subject,230,97
evening,231,96
party,232,96
house,233,95
till,234,95
feel,235,95
word,236,94
ought,237,94
people,238,93
place,239,92
deal,240,92
right,241,92
found,242,92
looked,243,91
often,244,90
Randalls,245,90
certainly,246,90
John,247,90
present,248,89
want,249,89
coming,250,89
We,251,89
our,252,89
Smith,253,89
Her,254,88
knew,255,88
Yes,256,88
almost,257,87
those,258,87
visit,259,86
Well,260,86
best,261,85
old,262,85
"--""",263,85
Martin,264,85
least,265,85
possible,266,84
both,267,83
hour,268,83
kind,269,82
friends,270,82
once,271,82
world,272,81
together,273,81
cried,274,81
perhaps,275,81
life,276,80
suppose,277,80
else,278,80
Perry,279,80
gone,280,79
replied,281,79
told,282,78
family,283,77
given,284,77
happiness,285,76
obliged,286,76
That,287,76
whole,288,76
manner,289,75
wanted,290,75
find,291,74
tell,292,73
seen,293,73
mother,294,72
able,295,72
lady,296,72
ill,297,72
hardly,298,71
whom,299,71
between,300,71
where,301,71
opinion,302,71
side,303,71
far,304,70
In,305,70
down,306,70
Isabella,307,69
carriage,308,69
immediately,309,69
looking,310,69
less,311,68
left,312,68
wife,313,68
three,314,68
understand,315,68
short,316,67
get,317,67
back,318,67
person,319,67
heart,320,66
part,321,66
talked,322,66
pretty,323,66
ready,324,66
comfort,325,65
afraid,326,65
perfectly,327,65
towards,328,65
extremely,329,65
situation,330,64
spirits,331,64
let,332,64
began,333,64
general,334,64
answer,335,64
next,336,63
acquaintance,337,63
nor,338,63
put,339,63
sir,340,63
marry,341,63
since,342,63
set,343,63
daughter,344,62
therefore,345,62
through,346,61
change,347,61
whether,348,61
sorry,349,61
either,350,61
course,351,61
under,352,61
Cole,353,61
true,354,60
things,355,60
others,356,60
talk,357,60
known,358,60
thinking,359,60
Do,360,60
children,361,59
account,362,59
mean,363,59
longer,364,59
attention,365,59
dare,366,59
Goddard,367,59
superior,368,59
assure,369,59
taken,370,58
bad,371,58
years,372,57
equal,373,57
His,374,57
feeling,375,56
making,376,56
yourself,377,56
return,378,56
aunt,379,56
sense,380,56
degree,381,56
To,382,56
state,383,56
CHAPTER,384,55
passed,385,55
name,386,55
walk,387,55
brought,388,54
nobody,389,54
brother,390,54
cold,391,54
business,392,54
leave,393,54
gave,394,54
because,395,53
imagine,396,53
minutes,397,53
hand,398,53
manners,399,52
beyond,400,52
walked,401,52
talking,402,52
usual,403,51
bear,404,51
natural,405,51
among,406,51
exactly,407,51
directly,408,51
When,409,51
saying,410,51
care,411,51
satisfied,412,51
eyes,413,51
seeing,414,51
point,415,51
Very,416,51
Campbell,417,51
affection,418,50
rest,419,50
glad,420,50
days,421,50
agreeable,422,50
read,423,50
So,424,50
used,425,49
Donwell,426,49
wonder,427,49
As,428,49
Such,429,49
appeared,430,49
words,431,49
Taylor,432,48
these,433,48
means,434,48
wished,435,48
society,436,48
attachment,437,48
dinner,438,47
girl,439,47
door,440,47
allow,441,47
took,442,47
voice,443,47
pleased,444,47
interest,445,47
particularly,446,46
each,447,46
went,448,46
Ah,449,46
son,450,46
believed,451,46
likely,452,46
