Name of Restaurant,City,Country Code,Day Of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
,,,,,,,
1 abercrombie lane sydney,Sydney,AU,0,7,30,15,30
,,,,,,,
1 abercrombie lane sydney,Sydney,AU,1,7,30,15,30
,,,,,,,
1 abercrombie lane sydney,Sydney,AU,2,7,30,15,30
,,,,,,,
1 abercrombie lane sydney,Sydney,AU,3,7,30,15,30
,,,,,,,
1 abercrombie lane sydney,Sydney,AU,4,7,30,15,30
,,,,,,,
1 chicken rice and seafood houston,Houston,US,0,10,30,20,30
,,,,,,,
1 chicken rice and seafood houston,Houston,US,1,10,30,20,30
,,,,,,,
1 chicken rice and seafood houston,Houston,US,2,10,30,20,30
,,,,,,,
1 chicken rice and seafood houston,Houston,US,3,10,30,20,30
,,,,,,,
1 chicken rice and seafood houston,Houston,US,4,10,30,20,30
,,,,,,,
1 chicken rice and seafood houston,Houston,US,5,10,30,20,0
,,,,,,,
1 chinese kitchen san jose 2,San Jose,US,0,11,0,21,0
,,,,,,,
1 chinese kitchen san jose 2,San Jose,US,2,11,0,21,0
,,,,,,,
1 chinese kitchen san jose 2,San Jose,US,3,11,0,21,0
,,,,,,,
1 chinese kitchen san jose 2,San Jose,US,4,11,0,21,0
,,,,,,,
1 chinese kitchen san jose 2,San Jose,US,5,11,0,21,0
,,,,,,,
1 chinese kitchen san jose 2,San Jose,US,6,11,0,21,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,0,11,30,15,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,0,17,30,0,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,1,11,30,15,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,1,17,30,0,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,2,11,30,15,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,2,17,30,0,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,3,11,30,15,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,3,17,30,0,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,4,11,30,15,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,4,17,30,0,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,5,11,30,15,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,5,17,30,0,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,6,11,30,15,0
,,,,,,,
10 custom pizzeria braddon,Braddon,AU,6,17,30,0,0
,,,,,,,
10 greek street london,London,GB,0,12,0,23,30
,,,,,,,
10 greek street london,London,GB,1,12,0,23,30
,,,,,,,
10 greek street london,London,GB,2,12,0,23,30
,,,,,,,
10 greek street london,London,GB,3,12,0,23,30
,,,,,,,
10 greek street london,London,GB,4,12,0,23,30
,,,,,,,
10 greek street london,London,GB,5,12,0,23,30
,,,,,,,
10 greek street london,London,GB,6,17,30,23,0
,,,,,,,
100 de agave denver,Denver,US,0,11,0,22,0
,,,,,,,
100 de agave denver,Denver,US,1,11,0,22,0
,,,,,,,
100 de agave denver,Denver,US,2,11,0,22,0
,,,,,,,
100 de agave denver,Denver,US,3,11,0,22,0
,,,,,,,
100 de agave denver,Denver,US,4,11,0,23,0
,,,,,,,
100 de agave denver,Denver,US,5,11,0,23,0
,,,,,,,
100 de agave denver,Denver,US,6,11,0,22,0
,,,,,,,
100 hoxton london,London,GB,1,11,0,0,0
,,,,,,,
100 hoxton london,London,GB,2,11,0,0,0
,,,,,,,
100 hoxton london,London,GB,3,11,0,0,0
,,,,,,,
100 hoxton london,London,GB,4,11,0,0,0
,,,,,,,
100 hoxton london,London,GB,5,11,0,0,0
,,,,,,,
100 hoxton london,London,GB,6,11,0,0,0
,,,,,,,
11 inch pizza melbourne,Melbourne,AU,0,11,0,21,30
,,,,,,,
11 inch pizza melbourne,Melbourne,AU,1,11,0,21,30
,,,,,,,
11 inch pizza melbourne,Melbourne,AU,2,11,0,21,30
,,,,,,,
11 inch pizza melbourne,Melbourne,AU,3,11,0,21,30
,,,,,,,
11 inch pizza melbourne,Melbourne,AU,4,11,0,21,30
,,,,,,,
11 inch pizza melbourne,Melbourne,AU,5,16,30,21,30
,,,,,,,
11 inch pizza melbourne,Melbourne,AU,6,16,30,21,30
,,,,,,,
111 by nico glasgow 2,Glasgow,GB,1,12,0,14,30
,,,,,,,
111 by nico glasgow 2,Glasgow,GB,1,17,0,22,0
