,MONTH_NAME,MANHATTAN,NYC,PERCENTAGE
0,Jan,3178.0,18101.0,17.557041047455943
4,Feb,3195.0,15985.0,19.987488270253362
5,Mar,3479.0,18471.0,18.834930431487198
6,Apr,3540.0,18331.0,19.311548742567236
7,May,3432.0,20052.0,17.115499700777978
8,Jun,2956.0,19433.0,15.211238614727526
9,Jul,3055.0,19867.0,15.377258770825993
10,Aug,2844.0,19678.0,14.452688281329403
11,Sep,2744.0,19492.0,14.077570285245228
1,Oct,2831.0,19666.0,14.395403234007933
2,Nov,2838.0,19315.0,14.693243593062387
3,Dec,2634.0,19214.0,13.708754033517227
