,Year,Index_col
60,1972,104
56,1968,96
77,1989,95
55,1967,91
67,1979,89
61,1973,89
79,1991,88
82,1994,87
58,1970,87
80,1992,86
64,1976,86
76,1988,83
57,1969,82
62,1974,82
65,1977,81
84,1996,81
34,1946,80
83,1995,79
87,1999,78
66,1978,77
35,1947,76
88,2000,76
90,2002,75
63,1975,75
73,1985,74
75,1987,74
50,1962,73
78,1990,72
89,2001,70
70,1982,70
54,1966,69
53,1965,69
52,1964,69
39,1951,69
33,1945,69
86,1998,69
85,1997,68
36,1948,68
59,1971,67
81,1993,67
69,1981,66
68,1980,65
72,1984,65
74,1986,64
38,1950,63
48,1960,62
46,1958,62
41,1953,62
96,2008,62
71,1983,61
40,1952,61
92,2004,61
91,2003,61
47,1959,60
37,1949,60
42,1954,59
51,1963,58
45,1957,57
95,2007,54
49,1961,52
43,1955,52
26,1938,51
93,2005,51
44,1956,51
94,2006,49
32,1944,47
24,1936,43
31,1943,39
17,1929,37
16,1928,37
23,1935,36
30,1942,32
19,1931,32
22,1934,30
20,1932,28
25,1937,27
27,1939,26
21,1933,26
97,2009,24
18,1930,24
29,1941,21
15,1927,21
28,1940,18
8,1920,17
9,1921,13
11,1923,12
14,1926,12
10,1922,11
13,1925,11
12,1924,7
7,1919,6
5,1917,6
4,1916,5
6,1918,4
2,1913,3
3,1915,2
1,1912,1
0,1908,1
